tech_assumption_id,projection_yr,admin_fee_amt,sa_loading_pm,prem_loading_pc,coi_pc,surrender_charge_pc,commission_pc,fmf_pc,surrender_charge_fixed_amt,guaranteed_interest_rt,ri_commission_pc,ret_limit_amt,interest_rt,emf,fixed_loading_amt,variable_loading_pc,inflation_rt,annual_lapse_rt
1,1,200,0.3,0.8,1.35,1,0.15,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.3
1,2,200,0.3,0.4,1.35,1,0.0225,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.2
1,3,200,0.3,0.25,1.35,0.25,0.01,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
1,4,200,0.3,0.13,1.35,0.1,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
1,5,200,0.3,0.1,1.35,0.05,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
1,6,200,0.3,0.05,1.35,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
1,7,200,0.3,0.05,1.35,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
1,8,200,0.3,0.05,1.35,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
1,9,200,0.3,0.05,1.35,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
1,10,200,0.3,0.05,1.35,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
1,11,200,0.3,0.05,1.35,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
2,1,200,0.3,0.8,1.35,1,0.225,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.3
2,2,200,0.3,0.4,1.35,1,0.07,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.2
2,3,200,0.3,0.25,1.35,0.25,0.03,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
2,4,200,0.3,0.13,1.35,0.1,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
2,5,200,0.3,0.1,1.35,0.05,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
2,6,200,0.3,0.05,1.35,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
2,7,200,0.3,0.05,1.35,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
2,8,200,0.3,0.05,1.35,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
2,9,200,0.3,0.05,1.35,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
2,10,200,0.3,0.05,1.35,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
2,11,200,0.3,0.05,1.35,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
3,1,200,0.3,0.8,1.35,1,0.35,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.3
3,2,200,0.3,0.4,1.35,1,0.1,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.2
3,3,200,0.3,0.25,1.35,0.25,0.05,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
3,4,200,0.3,0.13,1.35,0.1,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
3,5,200,0.3,0.1,1.35,0.05,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
3,6,200,0.3,0.05,1.35,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
3,7,200,0.3,0.05,1.35,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
3,8,200,0.3,0.05,1.35,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
3,9,200,0.3,0.05,1.35,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
3,10,200,0.3,0.05,1.35,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
3,11,200,0.3,0.05,1.35,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
4,1,200,0.3,0.8,1,1,0.15,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.3
4,2,200,0.3,0.4,1,1,0.0225,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.2
4,3,200,0.3,0.25,1,0.25,0.01,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
4,4,200,0.3,0.13,1,0.1,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
4,5,200,0.3,0.1,1,0.05,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
4,6,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
4,7,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
