tech_assumption_id,projection_yr,admin_fee_amt,sa_loading_pm,prem_loading_pc,coi_pc,surrender_charge_pc,commission_pc,fmf_pc,surrender_charge_fixed_amt,guaranteed_interest_rt,ri_commission_pc,ret_limit_amt,interest_rt,emf,fixed_loading_amt,variable_loading_pc,inflation_rt,annual_lapse_rt
4,8,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
4,9,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
4,10,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
4,11,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
5,1,200,0.3,0.8,1,1,0.35,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.3
5,2,200,0.3,0.4,1,1,0.1,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.2
5,3,200,0.3,0.25,1,0.25,0.05,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
5,4,200,0.3,0.13,1,0.1,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
5,5,200,0.3,0.1,1,0.05,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
5,6,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
5,7,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
5,8,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
5,9,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
5,10,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
5,11,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
6,1,200,0.3,0.8,1,1,0.225,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.3
6,2,200,0.3,0.4,1,1,0.07,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.2
6,3,200,0.3,0.25,1,0.25,0.03,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
6,4,200,0.3,0.13,1,0.1,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
6,5,200,0.3,0.1,1,0.05,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
6,6,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
6,7,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
6,8,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
6,9,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
6,10,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
6,11,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
7,1,200,0.3,0.8,1,1,0.225,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.3
7,2,200,0.3,0.4,1,1,0.07,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.2
7,3,200,0.3,0.25,1,0.25,0.03,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
7,4,200,0.3,0.13,1,0.1,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
7,5,200,0.3,0.1,1,0.05,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
7,6,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
7,7,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
7,8,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
7,9,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
7,10,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
7,11,200,0.3,0.07,1,0,0,0,0,0.04,0,250000,0.05,0.7,2700,0.06,0.03,0.15
