taxa,data
5,1
14,1
24,0
25,0
34,1
57,1
58,0
87,1
88,0
102,1
103,0
123,1
145,1
158,0
159,0
173,0
193,0
206,0
210,1
225,0
245,1
256,0
259,0
268,1
274,0
280,0
281,1
297,0
306,0
318,0
352,0
353,0
357,0
360,0
364,0
369,0
371,0
396,1
400,0
402,0
426,0
437,0
441,0
475,1
476,0
493,1
509,0
515,0
531,0
539,0
540,0
562,0
563,1
571,0
573,0
574,0
581,0
593,0
597,0
599,0
611,0
613,0
623,0
632,1
635,0
651,0
668,1
674,0
685,0
686,0
691,0
701,1
741,0
744,0
764,0
768,0
771,0
784,0
788,0
814,0
828,0
849,0
851,1
853,0
864,0
868,0
869,0
883,0
901,0
910,0
921,0
927,0
938,0
946,1
968,0
979,0
981,0
987,0
1033,0
1043,0
1064,0
1083,0
1101,0
1106,0
1108,0
1117,0
1137,0
1139,0
1141,0
1145,0
1153,0
1157,0
1161,0
1163,0
1167,0
1168,1
1174,0
1177,0
1179,0
1209,1
1211,0
1215,1
1217,0
1219,1
1222,0
1225,0
1226,1
1233,0
1255,0
1260,0
1269,1
1275,0
1277,1
1284,0
1290,0
1291,0
1306,0
1316,0
1319,0
1342,0
1350,0
1352,0
1355,0
1367,0
1381,0
1384,0
1388,0
1389,0
1400,0
1417,0
1421,0
1428,0
1448,1
1449,0
1454,0
1474,0
1475,0
1499,0
1503,0
1505,0
1522,0
1527,1
1532,0
1539,0
1559,0
1563,0
1565,0
1578,0
1583,0
1591,0
1599,0
1601,0
1602,0
1607,0
1624,0
1627,0
1633,0
1666,0
1670,0
1687,0
1713,0
1718,0
1720,0
1732,0
1750,1
1764,0
1767,0
1786,0
1792,0
1795,0
1796,0
1805,0
1813,0
1820,0
1821,0
1844,0
1857,0
1861,0
1880,0
1885,0
1888,0
1922,0
1929,0
1953,1
1980,0
1991,0
1995,0
2004,1
2015,0
2021,0
2023,1
2040,0
2041,0
2050,0
2064,0
2084,0
2097,0
2114,0
2132,0
2134,0
2137,0
2141,1
2148,0
2154,0
2174,0
2219,0
2225,0
2229,0
2255,0
2282,0
2314,0
2320,0
2322,0
2341,0
2353,0
2362,1
2364,0
2378,0
2395,0
2401,0
2420,0
2421,0
2424,0
2443,0
2450,0
2451,0
2475,1
2480,0
2481,0
2486,0
2491,0
2507,0
2527,0
2530,0
2531,0
2532,0
2534,0
2536,0
2538,0
2574,0
2588,0
2595,0
2602,0
2604,0
2614,0
2625,0
2637,0
2679,0
2692,1
2704,0
2705,0
2711,0
2733,0
2748,0
2758,0
2760,0
2764,0
2768,0
2777,0
2781,0
2783,0
2790,0
2792,0
2806,0
2817,0
2820,0
2843,0
2845,0
2846,0
2849,0
2851,0
2863,0
2871,1
2875,0
2893,0
2896,0
2902,0
2903,0
2906,0
2916,0
2924,0
2928,0
2941,0
2944,0
2946,0
2963,0
2968,0
2974,0
2982,0
2985,0
2995,0
2998,0
3005,0
3013,0
3019,0
3021,0
3029,0
3041,0
3052,0
3055,0
3059,0
3062,0
3063,0
3069,1
3080,1
3088,0
3104,0
3106,0
3108,0
3112,0
3117,0
3125,0
3126,0
3137,0
3157,0
3171,0
3174,0
3184,0
3194,0
3195,0
3196,0
3202,0
3219,0
3222,0
3226,0
3239,0
3287,1
3298,0
3305,0
3337,0
3357,0
3368,0
3383,0
3384,0
3392,0
3394,0
3399,0
3436,1
3438,0
3441,0
3450,0
3451,0
3468,0
3487,0
3488,0
3497,0
3500,0
3507,0
3526,0
3529,0
3534,0
3537,0
3548,0
3577,0
3583,0
3584,0
3585,0
3591,0
3600,0
3609,0
3613,1
3617,0
3627,0
3639,0
3640,1
3641,1
3644,0
3669,0
3681,0
3684,0
3687,0
3717,0
3723,0
3749,0
3752,0
3753,0
3779,0
3786,0
3789,0
3824,0
3825,0
3828,0
3847,0
3863,0
3872,0
3881,0
3898,0
3906,0
3917,0
3921,0
3924,0
3935,0
3939,0
3940,0
3949,0
3967,0
3978,0
3993,0
4006,0
4023,0
4025,0
4047,0
4058,0
4061,0
4070,0
4082,0
4087,0
4088,0
4118,0
4119,0
4126,0
4140,0
4148,1
4169,0
4183,0
4184,0
4198,1
4206,0
4210,0
4213,0
4236,0
4246,0
4279,0
4289,0
4296,0
4320,0
4322,0
4327,0
4340,0
4352,0
4357,0
4377,0
4381,0
4383,0
4387,0
4392,0
4395,0
4410,1
4411,1
4436,1
4437,1
4442,0
4445,0
4447,0
4461,0
4462,0
4476,0
4480,0
4486,0
4500,0
4501,0
4506,0
4507,0
4514,0
4520,0
4523,1
4526,0
4527,0
4531,0
4538,0
4541,0
4546,0
4559,0
4569,0
4570,0
4592,0
4617,0
4637,0
4646,1
4657,0
4659,0
4665,0
4678,0
4679,0
4703,0
4733,0
4743,0
4753,0
4756,0
4770,0
