taxa,data
2,1
4,0
6,1
8,1
9,0
10,1
11,1
12,0
13,1
14,0
15,0
17,1
18,1
19,1
21,0
23,0
25,1
26,1
27,1
28,1
30,1
31,1
32,1
34,0
35,1
37,0
38,0
39,1
40,0
42,0
44,1
46,1
47,0
53,0
54,0
55,1
56,1
57,0
60,1
62,0
63,1
64,0
65,1
66,1
68,0
70,0
72,0
74,0
76,0
77,0
78,0
83,0
85,1
86,0
89,0
91,1
93,0
94,0
97,1
102,1
104,0
105,1
107,1
108,1
109,0
111,1
112,1
113,1
114,0
116,0
117,0
119,1
120,0
121,1
123,1
124,0
128,0
129,0
130,1
131,0
133,1
135,1
137,0
138,0
140,0
144,1
145,0
146,1
147,1
148,1
150,0
151,1
152,0
153,1
155,0
158,0
159,1
160,1
161,1
163,1
164,1
166,0
168,1
169,0
171,1
172,1
173,1
175,0
180,1
182,1
183,1
184,0
187,0
188,1
190,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
201,0
202,0
203,1
205,0
206,0
208,0
210,1
211,0
212,0
215,1
217,0
218,0
219,1
220,0
224,0
226,1
227,0
228,0
230,0
232,1
234,0
235,0
237,0
238,1
239,0
241,1
242,0
243,0
244,0
251,0
252,0
256,0
260,0
262,0
263,0
264,0
266,0
267,1
268,1
270,0
271,0
272,0
273,0
274,1
275,0
276,0
277,0
278,1
279,0
280,0
281,1
282,0
283,1
285,0
287,0
289,0
290,0
291,0
292,0
293,1
294,0
295,1
296,0
301,1
302,0
303,0
304,0
305,1
306,1
312,0
313,1
315,0
316,0
317,1
320,1
321,0
324,1
327,1
329,1
331,1
333,0
334,0
337,0
338,0
339,0
340,0
341,0
343,1
344,1
345,0
347,0
348,0
350,1
352,0
356,0
358,1
359,0
360,0
362,0
363,1
364,0
365,0
367,1
370,0
375,1
378,0
379,0
380,0
382,0
383,0
384,0
386,0
387,0
388,0
389,1
390,1
391,1
393,1
394,0
395,0
396,0
397,1
399,0
400,0
402,1
408,0
409,0
410,0
412,0
417,0
419,0
421,1
423,1
425,0
428,1
429,0
432,0
433,1
434,0
436,1
438,0
439,0
440,0
441,0
442,0
443,0
447,0
450,0
452,1
456,0
460,0
461,0
462,0
463,0
467,0
469,0
470,0
471,0
473,1
474,1
476,1
480,0
481,1
482,0
483,0
486,0
488,0
491,0
492,0
494,0
497,0
500,0
501,0
502,0
504,0
506,1
513,1
515,0
516,0
517,0
518,0
520,0
521,0
525,0
526,0
527,0
529,1
534,0
535,0
536,0
537,0
539,0
540,0
541,0
543,0
544,0
546,1
549,1
550,0
551,0
552,0
553,0
556,0
557,0
560,0
561,0
563,0
565,0
567,0
569,1
570,0
573,0
575,1
576,0
578,0
579,1
581,0
584,0
586,0
587,0
588,0
589,0
590,0
593,0
594,0
596,0
599,0
600,0
601,0
602,0
608,0
611,0
612,0
613,0
614,0
616,0
617,0
620,0
621,0
623,0
624,0
625,0
626,0
627,0
629,0
630,0
632,0
633,1
639,0
642,0
643,0
644,0
645,0
646,0
648,1
650,0
652,0
654,0
656,0
658,0
659,0
660,0
661,0
662,0
664,0
665,0
666,0
667,0
669,0
670,0
671,0
672,0
674,0
675,1
676,0
677,0
678,0
679,0
680,0
681,0
682,0
684,0
691,0
692,0
693,0
697,0
699,0
701,0
702,0
704,0
705,0
706,0
707,0
708,0
713,0
715,1
717,0
719,0
720,0
721,0
722,0
723,0
724,0
726,0
729,0
730,0
731,1
732,1
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,1
743,0
746,0
748,0
749,0
750,0
752,0
753,0
754,0
755,0
757,0
759,0
760,0
761,0
762,0
765,0
769,0
770,0
772,0
774,0
776,0
779,0
780,0
781,0
782,0
785,0
786,0
789,0
790,0
792,0
793,0
795,0
796,0
797,0
799,0
801,0
802,0
806,0
807,0
808,0
809,0
811,0
812,0
813,0
814,0
818,0
819,0
820,0
822,0
823,0
825,0
827,0
828,0
830,0
832,0
834,0
835,0
836,0
838,0
839,0
842,0
847,0
848,0
