taxa,data
1,1
2,1
5,0
6,1
7,1
10,0
14,1
15,0
16,0
17,1
18,1
19,1
21,1
25,1
27,0
28,1
30,1
31,1
32,1
34,1
35,0
36,0
38,0
39,1
41,0
42,0
43,1
47,0
49,0
50,0
51,1
52,0
53,1
54,1
55,1
58,1
64,1
66,1
68,0
71,1
73,1
75,1
76,0
77,1
79,0
81,1
84,0
86,1
88,0
90,0
92,1
93,1
94,1
95,0
96,1
97,1
100,1
102,1
103,0
104,1
105,1
108,0
110,0
112,0
113,0
115,1
116,1
117,0
118,0
119,1
120,1
121,1
122,1
123,1
124,1
126,0
127,0
128,0
129,0
133,1
134,1
135,1
137,0
138,1
140,0
141,1
142,0
143,1
148,1
149,0
151,1
152,0
154,1
156,1
157,1
158,0
159,1
162,0
164,0
166,1
169,1
170,1
171,1
172,1
174,1
176,0
178,0
182,1
183,1
184,0
188,0
189,1
190,1
191,0
193,0
194,1
195,1
196,1
197,0
199,0
200,1
201,1
209,1
212,1
213,1
215,1
216,0
218,0
219,1
220,1
222,1
223,1
224,0
225,1
228,1
229,0
231,1
234,0
235,0
236,0
237,0
238,1
239,0
240,1
244,0
246,1
249,0
250,1
252,0
254,1
256,0
258,0
262,1
263,1
265,0
268,1
270,0
274,1
278,0
280,1
281,0
284,0
286,1
287,0
288,0
292,1
295,0
296,1
297,0
298,1
301,1
304,1
306,0
309,1
311,1
312,1
313,0
317,0
318,1
320,1
321,1
323,1
324,1
325,1
326,0
328,0
332,0
334,0
336,0
341,0
343,1
345,1
346,1
348,1
349,1
350,0
353,0
354,1
355,1
356,1
357,1
360,0
361,1
362,0
363,0
364,1
370,0
372,0
374,1
375,0
377,1
378,0
381,0
382,0
383,0
384,0
386,1
388,0
392,0
394,1
395,1
396,0
399,1
400,0
401,1
402,1
403,1
408,1
409,1
410,1
411,0
412,0
413,0
414,1
415,0
417,1
418,0
419,0
421,1
423,1
426,0
427,1
430,1
431,1
433,1
436,0
441,0
445,1
446,0
447,0
448,1
449,0
450,0
451,0
452,0
454,0
455,0
458,1
460,1
461,0
462,0
463,1
464,1
465,0
466,0
467,0
470,1
473,0
474,1
475,0
477,0
479,0
481,0
482,0
485,1
486,1
487,1
488,0
489,0
490,0
492,0
493,0
497,1
499,0
502,0
503,0
505,0
506,1
507,0
512,1
513,1
514,0
517,0
518,1
519,0
520,0
521,0
524,1
526,0
528,0
529,1
531,0
535,1
539,1
544,0
546,0
548,1
550,0
551,1
553,0
555,0
556,0
557,0
558,0
559,1
561,1
562,0
564,0
565,0
568,1
569,0
570,1
572,1
577,0
578,0
579,0
581,0
583,0
585,1
587,0
588,0
589,1
590,0
595,0
596,0
598,1
603,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,1
613,0
614,1
615,0
617,0
618,0
621,0
622,1
623,0
624,1
625,0
627,0
629,0
632,0
636,0
640,0
641,0
644,0
647,0
654,0
655,0
659,0
660,0
668,0
669,0
670,0
671,0
676,0
679,0
680,0
684,1
685,0
686,1
689,1
690,1
691,0
692,0
694,0
695,0
698,0
700,0
703,0
705,1
706,0
707,0
708,1
710,0
711,0
715,0
717,0
719,0
720,0
721,0
722,0
724,0
725,0
726,0
727,0
728,0
729,0
734,0
741,0
743,0
745,0
746,0
747,1
748,0
749,0
752,0
755,0
757,0
758,0
760,1
763,1
765,0
766,0
767,0
768,0
771,0
776,0
777,0
779,1
780,0
781,0
782,0
783,0
784,0
786,0
789,1
792,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
808,0
809,0
810,0
813,0
814,0
818,1
820,0
822,0
825,0
826,0
827,0
828,0
829,0
830,0
832,0
842,0
844,0
846,0
847,1
849,0
852,0
853,1
857,0
858,0
859,0
867,0
871,0
875,0
881,0
882,0
888,0
889,0
890,0
892,0
896,0
898,0
899,0
900,0
901,0
903,0
904,0
907,0
908,0
910,0
911,0
913,0
916,0
918,0
919,0
925,0
928,0
929,0
930,0
