name,id,created_at,updated_at
illust,1,2024-07-11 09:53:26.933534,2024-07-11 09:53:26.933538
manga,2,2024-07-11 09:53:26.936986,2024-07-11 09:53:26.936988
ugoira,3,2024-07-11 09:53:26.939065,2024-07-11 09:53:26.939067
