Make,Model,Width,Height,XResolution,YResolution
Canon,Canon EOS 2000D,22.3,14.9,6012,4008
Canon,Canon EOS 4000D,22.3,14.9,5184,3456
OLYMPUS CORPORATION,E-M5MarkIII,17.4,13.0,5184,3888
