taxa,data
2,1
16,0
25,0
44,1
45,0
46,0
47,1
56,1
61,0
64,0
70,0
77,1
81,0
114,0
117,1
127,1
130,1
139,0
148,0
153,0
161,0
170,1
172,0
179,1
193,0
203,1
207,1
216,1
233,0
242,0
251,0
265,1
271,0
283,0
289,0
291,0
296,0
298,0
302,1
305,1
312,1
313,0
342,0
353,1
357,0
370,0
371,0
372,0
414,1
426,0
431,1
461,0
481,1
485,1
487,1
488,0
494,1
495,1
510,1
514,1
515,0
516,0
541,1
548,1
563,0
575,0
576,0
581,0
587,1
605,1
622,1
628,0
630,1
635,1
638,0
645,1
648,1
656,1
659,0
662,0
677,0
681,1
688,1
747,0
753,1
759,0
769,1
770,0
771,1
783,1
784,0
788,1
811,1
845,1
850,0
852,0
876,1
884,0
892,0
893,0
894,0
907,0
911,0
916,1
917,1
919,0
923,1
932,0
942,0
943,0
952,1
963,0
970,1
976,0
989,0
1013,1
1021,1
1033,1
1048,0
1050,0
1051,0
1053,0
1063,0
1091,0
1097,0
1105,1
1118,0
1122,1
1126,1
1137,1
1149,0
1162,0
1167,0
1168,1
1181,0
1190,1
1191,0
1228,1
1229,1
1232,1
1235,1
1245,1
1252,0
1258,0
1262,1
1263,1
1284,0
1285,0
1287,1
1299,1
1333,0
1348,0
1354,0
1367,0
1381,0
1384,1
1390,0
1395,1
1409,1
1411,0
1425,0
1431,1
1447,1
1458,1
1464,0
1466,1
1485,0
1486,1
1488,0
1492,1
1510,0
1526,1
1552,0
1554,1
1557,1
1562,1
1575,0
1579,1
1591,0
1603,1
1609,0
1627,0
1629,0
1669,1
1672,1
1676,0
1680,1
1691,1
1699,1
1704,1
1712,1
1720,1
1724,1
1736,0
1739,1
1743,1
1756,1
1757,1
1759,0
1780,0
1782,0
1787,1
1795,1
1807,0
1812,1
1814,0
1816,0
1822,1
1827,1
1834,1
1837,0
1848,0
1851,0
1857,0
1862,1
1867,1
1872,1
1882,1
1884,0
1885,0
1887,0
1889,1
1903,1
1913,0
1924,1
1938,1
1940,1
1945,1
1962,1
1980,0
2001,1
2003,0
2010,0
2011,0
2015,1
2026,1
2032,1
2036,1
2054,0
2055,1
2065,0
2068,1
2069,0
2072,1
2080,1
2093,0
2097,1
2108,0
2129,1
2142,1
2167,1
2168,0
2170,0
2173,1
2180,0
2182,1
2188,1
2219,1
2226,1
2244,1
2260,0
2284,1
2290,1
2303,0
2306,0
2329,1
2332,1
2351,1
2360,0
2371,0
2415,0
2421,1
2426,0
2430,1
2436,1
2444,1
2453,0
2472,0
2483,0
2491,1
2495,0
2497,1
2505,1
2520,1
2526,1
2529,1
2533,1
2535,1
2545,1
2546,1
2564,1
2578,0
2595,1
2603,1
2604,0
2618,1
2624,0
2627,1
2638,1
2641,1
2642,0
2647,1
2665,0
2666,1
2670,1
2678,1
2702,1
2707,1
2717,0
2728,0
2733,1
2739,1
2748,0
2749,1
2766,1
2792,1
2797,1
2798,0
2801,1
2803,1
2806,1
2807,1
2813,1
2829,1
2837,1
2838,1
2844,0
2892,0
2898,1
2899,1
2905,1
2907,0
2927,0
2944,1
2945,0
2948,1
3008,1
3010,1
3014,1
3015,1
3021,1
3022,0
3033,1
3037,1
3041,1
3048,0
3059,1
3067,1
3076,1
3077,1
3080,1
3086,0
3091,1
3107,0
3115,1
3116,1
3133,0
3138,1
3171,0
3173,1
3183,0
3211,1
3214,1
3222,1
3224,0
3243,1
3245,1
3291,0
3293,1
3295,1
3334,1
3337,1
3343,1
3345,1
3360,1
3365,0
3370,1
3375,1
3384,0
3392,1
3400,1
3401,1
3419,1
3425,1
3428,1
3439,1
3442,1
3450,1
3465,0
3467,1
3479,0
3493,1
3501,1
3505,0
3506,1
3514,0
3517,1
3525,1
3534,1
3535,1
3570,0
3593,1
3596,0
3602,1
3611,1
3612,1
3614,1
3632,1
3649,1
3659,1
3702,1
3705,1
3708,1
3726,1
3727,1
3734,1
3738,0
3742,0
3755,1
3757,1
3759,1
3764,1
3785,1
3791,1
3798,0
3806,1
3812,1
3834,0
3837,1
3838,1
3851,1
3854,0
3870,1
3876,1
3884,1
3888,1
3895,0
3906,1
3909,1
3912,0
3932,1
3945,1
3946,1
3953,1
3977,1
3981,1
3990,0
4058,0
4069,0
4072,1
4080,1
4089,1
4096,1
4107,1
4110,1
4132,0
4135,0
4136,1
4151,1
4174,1
4180,1
4183,0
4184,1
4190,0
4191,1
4209,1
4218,1
4219,1
4222,1
4234,1
4239,1
4242,1
4251,1
4257,1
4266,1
4292,1
4295,1
4296,1
4299,1
4300,1
4322,1
4332,1
4334,1
4351,1
4365,1
4373,1
4383,1
4388,1
4396,1
4398,1
4410,1
4416,1
4419,1
4440,1
4453,1
4462,1
4464,1
4469,1
4473,1
4477,1
