taxa,data
2,0
5,0
7,0
11,1
14,0
15,0
18,0
25,0
26,0
27,0
31,0
32,0
34,0
39,0
40,0
44,1
45,0
48,0
49,0
51,0
52,0
56,0
59,0
62,0
63,0
67,0
69,0
70,0
71,0
75,0
77,0
79,0
81,0
82,0
83,0
88,0
91,0
96,0
104,0
106,0
108,1
113,1
116,0
118,1
120,0
124,0
126,0
127,0
134,0
136,0
137,0
153,0
155,0
164,0
166,0
169,0
172,0
176,0
178,0
180,0
182,0
183,0
184,0
187,0
190,1
194,0
195,0
196,0
197,0
203,0
204,0
208,1
210,0
212,0
213,0
214,0
216,0
217,0
220,0
227,0
229,0
231,0
232,0
234,0
236,0
238,0
239,0
247,0
249,0
250,0
251,0
252,0
254,0
258,0
262,0
265,1
272,0
273,0
275,0
278,0
279,0
280,0
282,0
285,0
288,0
294,0
298,1
300,1
303,0
305,0
306,0
307,0
313,0
314,0
315,0
316,0
317,0
324,1
326,0
327,0
328,0
329,0
330,0
332,0
334,0
338,1
339,0
342,0
348,0
350,0
351,0
352,1
353,0
356,0
359,1
362,0
363,0
365,0
366,0
369,0
379,0
381,0
382,0
383,0
384,0
385,0
386,0
389,0
397,1
401,0
404,0
405,1
408,0
410,0
411,0
415,0
418,0
420,0
424,0
425,0
430,0
432,0
442,1
447,0
450,0
455,0
461,0
463,0
464,0
465,0
466,0
467,0
469,0
471,0
472,0
473,0
476,0
477,0
479,0
480,0
482,1
485,0
487,0
488,0
491,0
494,0
499,0
501,0
503,0
506,0
510,0
511,0
512,0
513,0
522,0
525,0
526,0
529,0
532,0
533,0
538,0
542,0
543,0
545,0
551,0
553,0
555,1
556,0
558,0
560,0
561,0
563,0
564,0
567,0
571,0
572,0
575,0
578,0
579,0
580,0
581,0
583,0
585,0
588,0
590,0
592,0
593,0
594,0
595,0
597,0
599,0
600,0
601,0
602,0
605,0
624,0
625,0
627,0
630,0
635,0
636,0
639,0
640,0
642,0
645,0
648,0
650,0
656,0
664,0
665,0
669,0
676,0
680,0
686,0
687,0
688,0
689,0
690,1
691,1
695,0
697,0
700,0
701,0
703,0
704,0
716,0
717,0
720,0
723,0
726,0
727,1
728,1
729,1
731,0
732,0
734,0
736,0
737,0
738,0
739,0
741,0
743,0
744,0
746,0
752,0
753,0
755,0
756,0
757,0
766,0
768,0
769,0
770,0
773,0
777,0
781,0
782,0
786,0
787,0
791,1
792,0
793,0
794,0
799,0
801,0
802,0
804,0
812,0
813,0
815,0
820,0
821,0
824,0
827,0
829,0
835,0
843,0
850,1
852,0
853,1
854,1
861,0
865,0
867,1
868,1
874,0
878,0
879,0
881,0
882,0
883,1
884,1
888,0
889,0
891,0
892,0
895,1
899,0
904,0
905,0
907,1
908,1
910,0
912,0
919,0
920,0
921,0
922,0
923,0
925,0
927,0
934,0
938,0
943,0
951,0
952,0
953,0
955,0
956,0
957,0
961,0
966,0
970,0
971,0
975,0
977,0
978,0
979,0
981,0
983,0
989,0
990,0
992,0
993,0
995,0
997,0
1000,0
1003,0
1010,0
1012,0
1013,0
1014,0
1015,0
1017,0
1027,0
1028,0
1030,0
1035,0
1038,0
1039,0
1040,0
1042,0
1046,0
1048,0
1049,0
1051,0
1052,0
1056,0
1057,0
1060,0
1063,0
1066,0
1067,0
1069,0
1071,0
1073,0
1076,0
1077,0
1083,1
1087,0
1088,0
1090,0
1100,0
1101,0
1103,0
1105,0
1106,0
1107,0
1110,0
1111,0
1114,0
1115,0
1118,0
1127,0
1128,0
1129,0
1131,0
1134,0
1135,0
1137,0
1139,0
1142,0
1145,0
1147,0
1152,0
1153,0
1155,0
1156,0
1160,0
1163,0
1165,0
1169,0
1170,0
1171,0
1173,0
1175,0
1179,0
1182,0
1186,0
1187,0
1188,0
1190,0
1192,0
1194,0
1197,0
1208,0
1209,0
1217,0
1222,0
1224,0
1226,0
1231,0
1233,0
1235,0
1236,0
1240,0
1241,0
1244,0
1245,0
1247,0
1252,0
1253,0
1256,0
1257,0
1259,0
1269,0
1272,0
1275,0
1278,0
1282,0
1283,0
1284,0
1289,0
1290,0
1294,0
1295,0
1296,0
1297,0
1298,0
1301,0
1305,0
1306,0
1309,0
1315,0
1316,0
1319,1
1323,0
1328,0
1332,0
1333,0
